name,abreviation,colorR,colorG,colorB,baseHeight
CoverSorghum,Sor,255,137,137,10
CoverCorn,Cor,247,150,70,10
CoverRapeseed,Rap,255,204,255,10
CoverSunflower,Sun,255,191,139,10
CoverTemporarypasture,Tem,153,255,51,10
CoverWheat,Whe,255,255,153,10
CoverFallow,Fal,221,221,221,10
CoverOtherculture,Oth,238,233,23,10
CoverForest,For,170,113,0,40
CoverSouthEdge,SEd,204,136,0,30
CoverNorthEdge,NEd,100,67,0,30
CoverBuildingRoad,Bui,0,0,0,0
CoverWater,Wat,0,51,204,0
CoverPermanentpasture,Per,0,204,102,10
CoverHedge,Hed,0,102,0,20
CoverBareGround,Gro,255,255,255,0
CoverWheatVolunteer,Vol,0,51,204,5
